codEle,alias,provincia,precision,poblacion,fecha,suceso,sentido,descripcion,fechaFin,lng,pkFinal,causa,carretera,hora,estado,autonomia,pkIni,icono,tipo,horaFin,lat,nivel
11235922,EVENTOS / N-332 (51.0 - 49.0),ALICANTE/ALACANT,1,ORIHUELA COSTA,10/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación interrumpida  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">N-332 </span> </b> a la altura de <b>ORIHUELA COSTA (ALICANTE/ALACANT)</b> desde el <b> km 51</b> al <b> km 49</b> sentido <b>AMBOS SENTIDOS</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>CORTE TOTAL</b></span>",?,-0.7229472,49,ORDEN PÚBLICO,N-332,18:15,1,Comunitat Valenciana,51,INC_ACT_EVD_LS1_CAC.png,Incidencia,?,37.934036,NEGRO
11232573,EVENTOS / EX-109 (60.2 - 60.3),CÁCERES,1,ACEBO,10/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">EX-109 </span> </b> a la altura de <b>ACEBO (CÁCERES)</b> desde el <b> km 60.2</b> al <b> km 60.3</b> sentido <b>AMBOS SENTIDOS</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>CORTES INTERMITENTES</b></span>",?,-6.675475,60.3,ORDEN PÚBLICO,EX-109,10:37,1,Extremadura,60.2,INC_ACT_EVD_NAP_CAC.png,Incidencia,?,40.182793,NO APLICA
11234963,EVENTOS / EX-205 (14.0 - 14.0),CÁCERES,1,VALVERDE DEL FRESNO,10/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">EX-205 </span> </b> en el <b> km 14</b> en <b>VALVERDE DEL FRESNO (CÁCERES)</b> sentido <b>AMBOS SENTIDOS</b> hacia <b>Ambos sentidos</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>CORTES INTERMITENTES</b></span>",?,-6.895381,14,ORDEN PÚBLICO,EX-205,15:50,1,Extremadura,14,INC_ACT_EVD_NAP_CAC.png,Incidencia,?,40.207638,NO APLICA
11233924,EVENTOS / EX-108 (52.0 - 53.5),CÁCERES,1,PLASENCIA,10/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  - <b>CRUCE</b> de la carretera  <b> <span style=""color:#ab3000"">EX-108 </span> </b> desde el <b> km 52 </b> en <b>PLASENCIA (CÁCERES)</b> al <b> km 53.5</b> en <b>PRADOCHANO (CÁCERES)</b> sentido <b>AMBOS SENTIDOS</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>CORTES INTERMITENTES</b></span>",?,-6.1392703,53.5,ORDEN PÚBLICO,EX-108,13:25,1,Extremadura,52,INC_ACT_EVD_NAP_CAC.png,Incidencia,?,39.982082,NO APLICA
11233850,EVENTOS / N-630 (479.0 - 478.9),CÁCERES,1,PRADOCHANO,10/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  - <b>CRUCE</b> de la carretera  <b> <span style=""color:#ab3000"">N-630 </span> </b> a la altura de <b>PRADOCHANO (CÁCERES)</b> desde el <b> km 479</b> al <b> km 478.9</b> sentido <b>AMBOS SENTIDOS</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>CORTES INTERMITENTES</b></span>",?,-6.151676,478.9,ORDEN PÚBLICO,N-630,13:18,1,Extremadura,479,INC_ACT_EVD_NAP_CAC.png,Incidencia,?,39.98187,NO APLICA
11232849,EVENTOS / EX-A1 (98.0 - 98.5),CÁCERES,1,MORALEJA,10/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">EX-A1 </span> </b> a la altura de <b>MORALEJA (CÁCERES)</b> desde el <b> km 98</b> al <b> km 98.5</b> sentido <b>AMBOS SENTIDOS</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>UN SOLO CARRIL CON TRÁFICO ALTERNADO</b></span>",?,-6.662452,98.5,ORDEN PÚBLICO,EX-A1,11:21,1,Extremadura,98,INC_ACT_EVD_NAP_CAC.png,Incidencia,?,40.041405,NO APLICA
11234971,EVENTOS / EX-A1 (93.0 - 93.0),CÁCERES,1,CASAS DE DON GOMEZ,10/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">EX-A1 </span> </b> en el <b> km 93</b> en <b>CASAS DE DON GOMEZ (CÁCERES)</b> sentido <b>AMBOS SENTIDOS</b> hacia <b>AMBOS SENTIDOS</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>CORTES INTERMITENTES</b></span>",?,-6.607211,93,ORDEN PÚBLICO,EX-A1,15:53,1,Extremadura,93,INC_ACT_EVD_NAP_CAC.png,Incidencia,?,40.026455,NO APLICA
11236066,EVENTOS / A-45 (102.19 - 101.89),MÁLAGA,1,NOGALES (LOS),10/02/2024,EVENTOS,DECRECIENTE DE LA KILOMETRACIÓN,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  - <b>SALIDA</b> de la carretera  <b> <span style=""color:#ab3000"">A-45 </span> </b> a la altura de <b>NOGALES (LOS) (MÁLAGA)</b> desde el <b> km 102.19</b> al <b> km 101.89</b> sentido <b>DECRECIENTE DE LA KILOMETRACIÓN</b> hacia <b>ANTEQUERA</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>CORTE DE UN CARRIL</b></span>",?,-4.5072994,101.89,ORDEN PÚBLICO,A-45,18:45,1,Andalucía,102.19,INC_ACT_EVD_NAP_CAC.png,Incidencia,?,37.043583,NO APLICA
11236065,EVENTOS / A-7282 (8.0 - 8.0),MÁLAGA,1,ANTEQUERA,10/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación interrumpida  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">A-7282 </span> </b> en el <b> km 8</b> en <b>ANTEQUERA (MÁLAGA)</b> sentido <b>AMBOS SENTIDOS</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>CORTE TOTAL</b></span>",?,-4.5162225,8,ORDEN PÚBLICO,A-7282,18:45,1,Andalucía,8,INC_ACT_EVD_LS1_CAC.png,Incidencia,?,37.04154,NEGRO
11235974,EVENTOS / A-7 (953.15 - 953.15),MÁLAGA,1,TORRE DEL MAR,10/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación interrumpida  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">A-7 </span> </b> en el <b> km 953.15</b> en <b>TORRE DEL MAR (MÁLAGA)</b> sentido <b>AMBOS SENTIDOS</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>CORTE TOTAL</b></span>",?,-4.1022925,953.15,ORDEN PÚBLICO,A-7,18:26,1,Andalucía,953.15,INC_ACT_EVD_LS1_CAC.png,Incidencia,?,36.756645,NEGRO
11234570,EVENTOS / A-451 (19.8 - 19.87),SEVILLA,1,NAVARREDONDA,10/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación interrumpida  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">A-451 </span> </b> desde el <b> km 19.8 </b> en <b>NAVARREDONDA (SEVILLA)</b> al <b> km 19.87</b> en <b>SAUCEJO (EL) (SEVILLA)</b> sentido <b>AMBOS SENTIDOS</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>CORTE TOTAL</b></span>",?,-5.08744,19.87,ORDEN PÚBLICO,A-451,14:35,1,Andalucía,19.8,INC_ACT_EVD_LS1_CAC.png,Incidencia,?,37.07101,NEGRO
