codEle,alias,provincia,precision,poblacion,fecha,suceso,sentido,descripcion,fechaFin,lng,pkFinal,causa,carretera,hora,estado,autonomia,pkIni,icono,tipo,horaFin,lat,nivel
11433389,EVENTOS / N-611 (119.0 - 119.0),CANTABRIA,1,MATAPORQUERA,01/03/2024,EVENTOS,CRECIENTE DE LA KILOMETRACIÓN,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación irregular  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">N-611 </span> </b> en el <b> km 119</b> en <b>MATAPORQUERA (CANTABRIA)</b> sentido <b>CRECIENTE DE LA KILOMETRACIÓN</b></span>",?,-4.1677213,119,ORDEN PÚBLICO,N-611,12:24,1,Cantabria,119,INC_ACT_EVD_LS3_CAC.png,Incidencia,?,42.86001,AMARILLO
11439270,EVENTOS / N-232 (61.0 - 61.0),CASTELLÓN/CASTELLÓ,1,SEGONA DEL RIU,01/03/2024,EVENTOS,DECRECIENTE DE LA KILOMETRACIÓN,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación irregular  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">N-232 </span> </b> en el <b> km 61</b> en <b>SEGONA DEL RIU (CASTELLÓN/CASTELLÓ)</b> sentido <b>DECRECIENTE DE LA KILOMETRACIÓN</b></span>",?,-0.0897224,61,ORDEN PÚBLICO,N-232,19:04,1,Comunitat Valenciana,61,INC_ACT_EVD_LS3_CAC.png,Incidencia,?,40.6069,AMARILLO
11432728,EVENTOS / N-230 (41.76 - 41.76),HUESCA,1,ALCAMPELL,01/03/2024,EVENTOS,DECRECIENTE DE LA KILOMETRACIÓN,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">N-230 </span> </b> en el <b> km 41.76</b> en <b>ALCAMPELL (HUESCA)</b> sentido <b>DECRECIENTE DE LA KILOMETRACIÓN</b></span>",?,0.4672301,41.76,ORDEN PÚBLICO,N-230,11:35,1,Aragón,41.76,INC_ACT_EVD_NAP_CAC.png,Incidencia,?,41.923428,NO APLICA
11439998,EVENTOS / N-240 (313.0 - 313.0),HUESCA,1,BERDUN,01/03/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación interrumpida  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">N-240 </span> </b> en el <b> km 313</b> en <b>BERDUN (HUESCA)</b> sentido <b>AMBOS SENTIDOS</b></span>",?,-0.8673692,313,ORDEN PÚBLICO,N-240,20:24,1,Aragón,313,INC_ACT_EVD_LS1_CAC.png,Incidencia,?,42.606434,NEGRO
11440140,EVENTOS / N-330 (616.5 - 616.5),HUESCA,1,HOSTAL DE IPIES,01/03/2024,EVENTOS,CRECIENTE DE LA KILOMETRACIÓN,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación interrumpida  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">N-330 </span> </b> en el <b> km 616.5</b> en <b>HOSTAL DE IPIES (HUESCA)</b> sentido <b>CRECIENTE DE LA KILOMETRACIÓN</b></span>",?,-0.3965302,616.5,ORDEN PÚBLICO,N-330,20:48,1,Aragón,616.5,INC_ACT_EVD_LS1_CAC.png,Incidencia,?,42.43567,NEGRO
11431670,EVENTOS / C-26 (1.7 - 1.2),LLEIDA,1,ALFARRAS,01/03/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> con circulación difícil  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">C-26 </span> </b> a la altura de <b>ALFARRAS (LLEIDA)</b> desde el <b> km 1.7</b> al <b> km 1.2</b> sentido <b>AMBOS SENTIDOS</b></span>",?,0.5732951,1.2,,C-26,10:19,1,Cataluña,1.7,INC_ACT_EVD_LS2_CAC.png,Incidencia,?,41.829994,ROJO
11431668,EVENTOS / N-230 (27.0 - 26.0),LLEIDA,1,ALFARRAS,01/03/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> con circulación difícil  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">N-230 </span> </b> a la altura de <b>ALFARRAS (LLEIDA)</b> desde el <b> km 27</b> al <b> km 26</b> sentido <b>AMBOS SENTIDOS</b></span>",?,0.5686047,26,,N-230,10:20,1,Cataluña,27,INC_ACT_EVD_LS2_CAC.png,Incidencia,?,41.834305,ROJO
11438496,EVENTOS / C-14 (118.0 - 117.5),LLEIDA,1,PONTS,01/03/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> con circulación interrumpida  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">C-14 </span> </b> a la altura de <b>PONTS (LLEIDA)</b> desde el <b> km 118</b> al <b> km 117.5</b> sentido <b>AMBOS SENTIDOS</b></span>",?,1.1933972,117.5,,C-14,17:45,1,Cataluña,118,INC_ACT_EVD_LS1_CAC.png,Incidencia,?,41.922565,NEGRO
11397902,EVENTOS / A-2 (510.0 - 503.0),LLEIDA,1,TALLADELL (EL),01/03/2024,EVENTOS,OESTE,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> con circulación interrumpida  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">A-2 </span> </b> desde el <b> km 510 </b> en <b>TALLADELL (EL) (LLEIDA)</b> al <b> km 503</b> en <b>ANGLESOLA (LLEIDA)</b> sentido <b>OESTE</b> hacia <b>LLEIDA</b></span>",?,1.166623,503,,A-2,08:21,1,Cataluña,510,INC_ACT_EVD_LS1_CAC.png,Incidencia,?,41.65688,NEGRO
11397847,EVENTOS / A-2 (503.0 - 510.0),LLEIDA,1,VILAGRASSA,01/03/2024,EVENTOS,ESTE,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> con circulación interrumpida  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">A-2 </span> </b> a la altura de <b>VILAGRASSA (LLEIDA)</b> desde el <b> km 503</b> al <b> km 510</b> sentido <b>ESTE</b> hacia <b>BARCELONA</b></span>",?,1.0916574,510,,A-2,08:18,1,Cataluña,503,INC_ACT_EVD_LS1_CAC.png,Incidencia,?,41.64788,NEGRO
